Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,16-MAR,156.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
1,GMR-01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,GMR-02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,GMR-03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,GMR-04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,GMR-05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,GMR-06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,GMR-07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FRS-08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS-09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS-10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS-11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS-12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS-13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,FRS-14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMR-15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,GMR-16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,GMR-17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,GMR-18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,GMR-19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,GMR-20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,GMR-21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,GMR-22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23, --A--,467.712500,,0.000000,DTCS,88.5,88.5,243,NN,NFM,5.00,S,,,,,
24, --B--,462.625000,,0.000000,DTCS,88.5,88.5,466,NN,NFM,5.00,S,,,,,
25, --C--,462.612500,,0.000000,TSQL,218.1,218.1,023,NN,NFM,5.00,S,,,,,
26,WX-1,162.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
27,WX-2,162.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
28,WX-3,162.475000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
29,WX-4,162.425000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
30,WX-5,162.450000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
31,WX-6,162.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
32,WX-7,162.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
33,WX-8,161.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
34,WX-9,161.775000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
35,WX-10,163.275000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
36,CRERCC,146.980000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
37,MAL-RP,145.430000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
38,NAN-IT,145.430000,-,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
39,COUR-IT,146.620000,-,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
40,CHEM-IT,146.680000,-,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
41,MCNL-IT,146.940000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,PALB-IT,147.150000,+,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,S,,,,,
43,MTWA-IT,146.620000,-,0.600000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
55,RR-01,150.080000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
56,RR-02,150.110000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
57,RR-03,150.140000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
58,RR-04,150.185000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
59,RR-05,150.200000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
60,RR-06,150.245000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
61,RR-07,150.260000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
62,RR-08,150.365000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
63,RR-09,150.365000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
64,RR-10,150.410000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
65,RR-11,150.440000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
66,RR-12,150.500000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
67,RR-13,150.530000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
68,RR-14,150.545000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
69,RR-15,150.560000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
70,RR-16,150.590000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
71,RR-17,150.680000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
72,RR-18,150.710000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
73,RR-19,150.770000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
74,RR-20,150.830000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
75,RR-21,151.010000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
76,RR-22,151.130000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
77,RR-23,151.190000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
78,RR-24,151.220000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
79,RR-25,151.310000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
80,RR-26,151.340000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
81,RR-27,151.370000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
82,RR-28,151.430000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
83,RR-29,151.460000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
84,RR-30,151.490000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
85,RR-31,151.520000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
86,RR-32,151.580000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
87,RR-33,151.610000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
88,RR-34,151.640000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
89,RR-35,151.670000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
90,LD-1,151.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
91,LD-2,151.745000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
92,LD-3,151.790000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
93,LD-4,151.805000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
94,LD-5,151.850000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
95,WFP,170.415000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
96,HAUL-R,153.110000,,0.000000,Tone,203.5,88.5,023,NN,NFM,5.00,,,,,,
97,BLUE,164.085000,-,0.870000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
98,SPACE-R,145.800000,split,437.800000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
99,SPACE,145.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
100,PEP-1,149.495000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
101,PEP-2,149.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
102,UHF-PEP,462.950000,,0.000000,Tone,114.8,88.5,023,NN,NFM,5.00,S,,,,,
105,YELLOW,164.205000,-,0.870000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
106,BLUE,164.085000,-,0.870000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
107,SPACE-R,145.800000,split,437.800000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
108,SPACE,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
127,,470.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
